output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
2.23449268521358e-19,9.71691327487928e-234,4.17717481419005e-62,1.5264435627385e-19,1.8149736873654e-69,2.97738869171242e-69
2.66033613257367e-19,1.76907024387791e-239,8.41583089283965e-65,1.81734896299271e-19,3.65666085506707e-72,6.04921201755926e-72
3.16733564853919e-19,2.83711035761844e-245,1.57226494433691e-67,2.16369431134776e-19,6.83145817561824e-75,1.13960120675571e-74
3.7709577326238e-19,4.00857725071118e-251,2.72489344432574e-70,2.57604520006399e-19,1.18396048102302e-77,1.99149451026997e-77
4.48961644712132e-19,4.99060588692818e-257,4.38269306708758e-73,3.06698078280716e-19,1.90427093679226e-80,3.22961496269686e-80
5.34523515548328e-19,5.47556755509147e-263,6.54433360417813e-76,3.65147751362232e-19,2.84349921209309e-83,4.8622080085529e-83
6.36391531524571e-19,5.29516592851951e-269,9.07570903864079e-79,4.34736601782217e-19,3.94337652409487e-86,6.79807611362697e-86
7.5767327276656e-19,4.51402793006744e-275,1.16933130983212e-81,5.17587503206786e-19,5.0807199927287e-89,8.82998493027802e-89
9.02068553441499e-19,3.39266413376267e-281,1.4001712105874e-84,6.16227900704892e-19,6.08371451534629e-92,1.06586119643104e-91
1.07398228808679e-18,2.24835721807386e-287,1.55865436364887e-87,7.33666912849414e-19,6.77232048826398e-95,1.19604431943118e-94
1.27865886769208e-18,1.31398880866136e-293,1.61352749839385e-90,8.73487127723809e-19,7.01074310674544e-98,1.24805351124899e-97
1.52234214480404e-18,6.77286352385407e-300,1.5537747771366e-93,1.03995389315832e-18,6.75111878730832e-101,1.21139654304348e-100
1.81246590815077e-18,3.09043660599242e-306,1.39221709813093e-96,1.23814543519765e-18,6.04915406370851e-104,1.09403016834462e-103
2.1578806573943e-18,-1.62225150725639e-308,1.16104798274132e-99,1.47410777418706e-18,5.04472911041616e-107,9.19559442815625e-107
2.56912359598939e-18,-1.67995318072268e-308,9.01426034518666e-103,1.75503916433843e-18,3.91667719579207e-110,7.19533226246229e-110
3.05874007853594e-18,-2.54508749318425e-308,6.51710483786327e-106,2.08950968327969e-18,2.8316683702923e-113,5.24265110233645e-113
3.64166631868056e-18,4.63541299903201e-308,4.38861745192595e-109,2.48772267037437e-18,1.90684506956711e-116,3.55782348202577e-116
4.33568503243339e-18,1.57244283550389e-308,2.75327036193268e-112,2.96182598923434e-18,1.19629019214983e-119,2.24932092165964e-119
5.16196791673046e-18,-1.40388781022093e-308,1.60958530543403e-115,3.52628260978295e-18,6.9936143610959e-123,1.32509937540544e-122
6.1457215120628e-18,-4.12998748264227e-308,8.77031926644037e-119,4.1983118148248e-18,3.81068530919733e-126,7.27559055088838e-126
7.31695615182254e-18,-1.08430962479272e-308,4.45494027914388e-122,4.99841449054544e-18,1.9356621987577e-129,3.7239182337709e-129
8.71140145589248e-18,1.02331740328399e-308,2.10998312314586e-125,5.95099852542449e-18,9.16783237389443e-133,1.77717471875977e-132
1.03715962964768e-17,1.1767895425846e-308,9.31985388416554e-129,7.0851233959471e-18,4.04945694692707e-136,7.90935564843275e-136
1.23481864866105e-17,-9.11401178111692e-309,3.83982737817858e-132,8.43538665340473e-18,1.66839693463265e-139,3.28331819948172e-139
1.47014697785632e-17,-3.27481370186016e-308,1.47592197372491e-135,1.00429793549032e-17,6.41284999089636e-143,1.27151884882573e-142
1.75032353037724e-17,-1.89922333865863e-308,5.29344170590074e-139,1.19569426354988e-17,2.29998930836591e-146,4.59457086319138e-146
2.08389535681626e-17,1.05067018268347e-308,1.77176977590224e-142,1.42356637543827e-17,7.69830248044187e-150,1.54935601673791e-149
2.48103838107256e-17,3.63703106083125e-308,5.53528266380121e-146,1.69486572534175e-17,2.40506869686206e-153,4.87653056305603e-153
2.95386782653018e-17,1.05862610252172e-308,1.61436710124184e-149,2.0178685563951e-17,7.01439116349364e-157,1.43281837498405e-156
3.51680780240011e-17,1.99731244821338e-308,4.39601516430164e-153,2.40242837530213e-17,1.91005936006387e-160,3.93057943610395e-160
4.18703132480729e-17,6.07416405793614e-309,1.11782225302606e-156,2.86027654287247e-17,4.85691422226768e-164,1.00686191683047e-163
4.98498419588155e-17,-1.67846353304391e-308,2.65462568359352e-160,3.40538015027299e-17,1.1534292865023e-167,2.40875031567318e-167
5.93500872227952e-17,1.26519064190269e-308,5.88856089478115e-164,4.05436809834733e-17,2.5585673465641e-171,5.38246094547487e-171
7.06608630026055e-17,7.44283621422944e-309,1.2202446781035e-167,4.82703837795577e-17,5.30193750901216e-175,1.12355433828401e-174
8.41272152057645e-17,1.72964674106916e-308,2.36249735974307e-171,5.74696202640202e-17,1.02650014307226e-178,2.19122238948088e-178
1.00159947636304e-16,2.17544110826823e-308,4.27400981327091e-175,6.84220218420842e-17,1.85704829117436e-182,3.99311142203221e-182
1.19248153953154e-16,1.05822217461282e-308,7.22588410928698e-179,8.14617018774634e-17,3.13963147574196e-186,6.80018618442997e-186
1.41974137934563e-16,4.91435734437288e-308,1.14179400287811e-182,9.69864481363678e-17,4.96107097212117e-190,1.08234284189692e-189
1.69031177205314e-16,-1.11785549361334e-308,1.68645342082167e-186,1.1546985767935e-16,7.32760470871554e-194,1.61024653180815e-193
2.01244672326049e-16,-5.94862051896912e-309,2.32861620344502e-190,1.37475784387342e-16,1.01177885178955e-197,2.23949847170985e-197
2.39597326417635e-16,5.97615083630726e-309,3.0061057994341e-194,1.63675539857314e-16,1.3061466589512e-201,2.91196464090157e-201
2.85259123448845e-16,-1.58004131644888e-308,3.62859018350925e-198,1.94868372397154e-16,1.57661481701207e-205,3.54032480803453e-205
3.39623019703338e-16,-5.64966511536902e-309,4.09583270064943e-202,2.3200584885084e-16,1.77963070979851e-209,4.02499513559781e-209
4.04347437227886e-16,6.67909031186159e-309,4.32373696842992e-206,2.76220883044564e-16,1.87865463569567e-213,4.27952142694248e-213
4.81406855564662e-16,-2.91033182676679e-308,4.26903890308826e-210,3.28862296393967e-16,1.85488844113574e-217,4.25572806460748e-217
5.73152045116196e-16,-7.44372573913267e-309,3.94270874748878e-214,3.91535964976496e-16,1.71309867361274e-221,3.95859906305569e-221
6.82381779618745e-16,1.61067478562274e-308,3.40637086027734e-218,4.66153808299225e-16,1.48006098758651e-225,3.44458749059924e-225
8.12428215380867e-16,5.58570695156776e-309,2.75333931041083e-222,5.54992114210798e-16,1.19632015011883e-229,2.80413612029879e-229
9.67258541861584e-16,2.74996188590092e-308,2.08226065033435e-226,6.60760979214086e-16,9.04737881152338e-234,2.13581822028196e-233
1.15159600453511e-15,2.0523964501176e-308,1.47351333873305e-230,7.86686982521929e-16,6.40238452242267e-238,1.52219068436965e-237
1.37106399195905e-15,4.96419119359952e-309,9.75779875398792e-235,9.36611615906183e-16,4.23974307346027e-242,1.01519327978372e-241
1.63235758255826e-15,-4.26744527208826e-308,6.04731787291379e-239,1.11510847203569e-15,2.62754692027444e-246,6.33633044275302e-246
1.94344778432124e-15,-1.35007281447983e-308,3.5076837828371e-243,1.32762276624414e-15,1.52408123974627e-250,3.70143393216277e-250
2.313824697934e-15,-7.42522575458497e-309,1.90439709728253e-247,1.58063744797137e-15,8.27456540751225e-255,2.02384904405411e-254
2.7547870212727e-15,-2.98325497823999e-309,9.67845564655933e-252,1.88187096926448e-15,4.20526865985242e-259,1.03584415910771e-258
3.27978672686336e-15,8.07770030642324e-309,4.60465813308682e-256,2.24051274345398e-15,2.00071429198401e-263,4.96306916290528e-263
3.90483942702015e-15,4.41038007930962e-309,2.05098318195934e-260,2.66750347689442e-15,8.9114788680611e-268,2.22626341909884e-267
4.64901294523908e-15,2.30991467057905e-308,8.55322996659979e-265,3.17586892555427e-15,3.71636046416552e-272,9.34982073570101e-272
5.53500899817897e-15,-2.50422185171418e-309,3.33987959039464e-269,3.78111725801527e-15,1.45117067041169e-276,3.67671297209393e-276
6.58985573298865e-15,-1.12696308051945e-309,1.22121676253042e-273,4.50171214681529e-15,5.30616119543955e-281,1.35386293736338e-280
7.84573224648608e-15,4.48417952970664e-309,4.18161521032438e-278,5.35963602023329e-15,1.81690303016377e-285,4.66848968583928e-285
9.34095023892649e-15,3.49522021899132e-309,1.3409489812144e-282,6.38106065704444e-15,5.8263951720093e-290,1.50762213824548e-289
1.11211227486357e-14,-3.11493236077812e-309,4.02739521869499e-287,7.59714558137253e-15,1.74989476756432e-294,4.55984376047997e-294
1.32405556208633e-14,4.00089652393629e-309,1.13293882501919e-291,9.04498861342923e-15,4.92259541022636e-299,1.29174052519957e-298
1.57639041589286e-14,-2.78168265456033e-309,2.98527794222687e-296,1.07687575735891e-14,1.29709699872456e-303,3.42763411385902e-303
1.8768145495369e-14,-5.63389452103036e-309,7.36859126757424e-301,1.28210376635031e-14,3.20163925752399e-308,8.52052856284307e-308
2.23449268521357e-14,1.44781818904919e-308,1.78727017992234e-305,1.52644356273849e-14,8.39911597930119e-313,1.57628056817921e-312
2.66033613257366e-14,1.75622074977363e-309,-2.06043840749153e-309,1.81734896299271e-14,0,-1.55842714977624e-313
3.16733564853918e-14,-1.6577735384085e-309,6.14933559029155e-310,2.16369431134775e-14,0,-1.18372928509312e-311
3.77095773262378e-14,3.40116626261621e-308,-1.72130313051022e-309,2.57604520006398e-14,9.88131291682493e-314,2.62727407183857e-312
4.4896164471213e-14,0,0,3.06698078280715e-14,0,0
5.34523515548326e-14,0,0,3.65147751362231e-14,0,0
