output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
6.93704262832115e-21,9.61393544134303e-176,9.58905852219094e-34,4.73888508765972e-21,2.3172455896542e-181,1.57869184009119e-147
7.73293170406683e-21,5.0854209679273e-180,1.05683619303544e-35,5.28257885956829e-21,1.2257383442361e-185,5.95165016650665e-151
8.62013338301107e-21,2.47449511976807e-184,1.10155493161666e-37,5.88865078839439e-21,5.96427231895617e-190,2.130981515938e-154
9.60912398874842e-21,1.10779114957049e-188,1.08631190474971e-39,6.56425753963884e-21,2.67010754468054e-194,7.2492757497223e-158
1.07115817967642e-20,4.56369043501201e-193,1.01397713519541e-41,7.31737686527922e-21,1.09998570279574e-198,2.34395141914632e-161
1.19405249347515e-20,1.73035304121525e-197,8.96179844333623e-44,8.1569018072788e-21,4.17066764985541e-203,7.20616319663619e-165
1.33104651042755e-20,6.03927366649887e-202,7.50269113281354e-46,9.09274570909356e-21,1.4556453341915e-207,2.10726734995059e-168
1.48375789389718e-20,1.94059690146825e-206,5.95181222106603e-48,1.01359592751824e-20,4.67741814854096e-212,5.8634059412741e-172
1.65398990227248e-20,5.7418764575755e-211,4.47549782428301e-50,1.12988610607914e-20,1.38396372420381e-216,1.55290904366747e-175
1.84375268234219e-20,1.56460826707305e-215,3.19108193408627e-52,1.25951829328726e-20,3.77117323964997e-221,3.91611166487862e-179
2.05528700566638e-20,3.92693969697287e-220,2.15813545115447e-54,1.40402322197786e-20,9.46509756505832e-226,9.40634193693959e-183
2.29109072822874e-20,9.07949085029877e-225,1.38483729648339e-56,1.56510724644433e-20,2.18842848046225e-230,2.15269878518401e-186
2.55394828581316e-20,1.93413833230442e-229,8.43391254553066e-59,1.74467249154315e-20,4.66185106781562e-235,4.6954733181225e-190
2.84696357339401e-20,3.79656488155347e-234,4.87637146485583e-61,1.94483931351195e-20,9.15085531964712e-240,9.76433567979563e-194
3.17359659678924e-20,6.86796819948321e-239,2.67747351115774e-63,2.16797133772434e-20,1.65538546802583e-244,1.93643920407643e-197
3.53770432936916e-20,1.14513119805403e-243,1.39647827476523e-65,2.41670336903408e-20,2.76010821422309e-249,3.66345455518733e-201
3.94358625626811e-20,1.76005251458613e-248,6.92054613328391e-68,2.69397250428192e-20,4.24225225129529e-254,6.61346637806674e-205
4.39603514389793e-20,2.49397371427205e-253,3.25954649978096e-70,3.00305281435003e-20,6.01122154956252e-259,1.13957447791506e-208
4.90039363426362e-20,3.25840504092939e-258,1.45946965860398e-72,3.34759400529943e-20,7.85372936657235e-264,1.87479689098797e-212
5.46261733236247e-20,3.9256808263418e-263,6.21386218708623e-75,3.73166451511181e-20,9.46206331083893e-269,2.94568475463086e-216
6.08934513162043e-20,4.36184418153948e-268,2.51629553047652e-77,4.15979955493412e-20,1.05133472698036e-273,4.42142858863206e-220
6.78797760778769e-20,4.47010690633709e-273,9.69387319980466e-80,4.63705466211011e-20,1.07742927723939e-278,6.34176381433547e-224
7.56676440699062e-20,4.22575769179077e-278,3.55359806447272e-82,5.16906539736808e-20,1.01853381833002e-283,8.69482739518755e-228
8.43490165984221e-20,3.68532370731695e-283,1.23985732160981e-84,5.76211389108563e-20,8.88273086430804e-289,1.13987369625024e-231
9.40264057190397e-20,2.96534981743823e-288,4.11815151627284e-87,6.42320302442823e-20,7.147378748448e-294,1.42939633057496e-235
1.04814084727656e-19,2.20165996501701e-293,1.30242460045136e-89,7.16013912131311e-20,5.3066581058102e-299,1.71523866204305e-239
